"timestamp [UTC]",message
"3/17/2021, 10:46:26.030 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:46:52.339 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:47:18.630 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:47:31.298 PM","[270464972:0] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=null, deliveryCount=null, linkCredit=null, available=null, drain=false, echo=true, properties=null}"
"3/17/2021, 10:47:57.450 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 10:47:57.551 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:48:23.803 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:48:50.065 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:49:16.329 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:49:42.585 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 10:49:57.231 PM","[270464972:2] SENT: Begin{remoteChannel=null, nextOutgoingId=1, incomingWindow=2047, outgoingWindow=2147483647, handleMax=65535, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 10:49:57.233 PM","[270464972:2] RECV: Begin{remoteChannel=2, nextOutgoingId=1, incomingWindow=5000, outgoingWindow=2047, handleMax=255, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 10:49:57.233 PM","[270464972:2] SENT: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:452:1:**-test-out-**', handle=0, role=SENDER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:452:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=0, maxMessageSize=null, offeredCapabilities=null, desiredCapabilities=[DELAYED_DELIVERY], properties=null}"
"3/17/2021, 10:49:57.237 PM","[270464972:2] RECV: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:452:1:**-test-out-**', handle=0, role=RECEIVER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:452:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=null, maxMessageSize=1048576, offeredCapabilities=[DELAYED_DELIVERY], desiredCapabilities=null, properties=null}"
"3/17/2021, 10:49:57.237 PM","[270464972:13] SENT: Detach{handle=0, closed=true, error=null}"
